scheme_id,asset_id,period_end,published_at,weight_pct,source_url
FUND_A,TEST00000001,2025-01-31,2025-02-10T12:00:00+05:30,5,synthetic://fund-a/2025-01
FUND_A,TEST00000002,2025-01-31,2025-02-10T12:00:00+05:30,6,synthetic://fund-a/2025-01
FUND_A,TEST00000003,2025-01-31,2025-02-10T12:00:00+05:30,2,synthetic://fund-a/2025-01
FUND_B,TEST00000001,2025-01-31,2025-02-10T12:00:00+05:30,2,synthetic://fund-b/2025-01
FUND_B,TEST00000002,2025-01-31,2025-02-10T12:00:00+05:30,4,synthetic://fund-b/2025-01
FUND_B,TEST00000003,2025-01-31,2025-02-10T12:00:00+05:30,3,synthetic://fund-b/2025-01
FUND_A,TEST00000001,2025-02-28,2025-03-10T12:00:00+05:30,7,synthetic://fund-a/2025-02
FUND_A,TEST00000002,2025-02-28,2025-03-10T12:00:00+05:30,5,synthetic://fund-a/2025-02
FUND_A,TEST00000003,2025-02-28,2025-03-10T12:00:00+05:30,2,synthetic://fund-a/2025-02
FUND_B,TEST00000001,2025-02-28,2025-03-10T12:00:00+05:30,4,synthetic://fund-b/2025-02
FUND_B,TEST00000002,2025-02-28,2025-03-10T12:00:00+05:30,3,synthetic://fund-b/2025-02
FUND_B,TEST00000003,2025-02-28,2025-03-10T12:00:00+05:30,3,synthetic://fund-b/2025-02
FUND_A,TEST00000001,2025-03-31,2025-04-10T12:00:00+05:30,8,synthetic://fund-a/2025-03
FUND_A,TEST00000002,2025-03-31,2025-04-10T12:00:00+05:30,4,synthetic://fund-a/2025-03
FUND_A,TEST00000003,2025-03-31,2025-04-10T12:00:00+05:30,3,synthetic://fund-a/2025-03
FUND_B,TEST00000001,2025-03-31,2025-04-10T12:00:00+05:30,4,synthetic://fund-b/2025-03
FUND_B,TEST00000002,2025-03-31,2025-04-10T12:00:00+05:30,2,synthetic://fund-b/2025-03
FUND_B,TEST00000003,2025-03-31,2025-04-10T12:00:00+05:30,5,synthetic://fund-b/2025-03
FUND_A,TEST00000001,2025-04-30,2025-05-10T12:00:00+05:30,7,synthetic://fund-a/2025-04
FUND_A,TEST00000002,2025-04-30,2025-05-10T12:00:00+05:30,4,synthetic://fund-a/2025-04
FUND_A,TEST00000003,2025-04-30,2025-05-10T12:00:00+05:30,5,synthetic://fund-a/2025-04
FUND_B,TEST00000001,2025-04-30,2025-05-10T12:00:00+05:30,3,synthetic://fund-b/2025-04
FUND_B,TEST00000002,2025-04-30,2025-05-10T12:00:00+05:30,3,synthetic://fund-b/2025-04
FUND_B,TEST00000003,2025-04-30,2025-05-10T12:00:00+05:30,6,synthetic://fund-b/2025-04
